t	p	p+skin
0.311025045	2939.228187	2919.228187
0.318269749	2938.659552	2918.659552
0.325683204	2938.086742	2918.086742
0.33326934	2937.509746	2917.509746
0.34103218	2936.928552	2916.928552
0.34897584	2936.343150	2916.343150
0.357104532	2935.753530	2915.753530
0.365422565	2935.159680	2915.159680
0.37393435	2934.561590	2914.561590
0.3826444	2933.959252	2913.959252
0.391557333	2933.352656	2913.352656
0.400677875	2932.741792	2912.741792
0.410010861	2932.126652	2912.126652
0.419561241	2931.507227	2911.507227
0.429334078	2930.883510	2910.883510
0.439334553	2930.255492	2910.255492
0.44956797	2929.623166	2909.623166
0.460039753	2928.986524	2908.986524
0.470755455	2928.345561	2908.345561
0.481720758	2927.700269	2907.700269
0.492941476	2927.050642	2907.050642
0.504423558	2926.396674	2906.396674
0.516173092	2925.738361	2905.738361
0.528196308	2925.075696	2905.075696
0.540499581	2924.408675	2904.408675
0.553089433	2923.737294	2903.737294
0.565972541	2923.061549	2903.061549
0.579155735	2922.381435	2902.381435
0.592646005	2921.696950	2901.696950
0.606450504	2921.008090	2901.008090
0.620576551	2920.314853	2900.314853
0.635031636	2919.617237	2899.617237
0.649823423	2918.915239	2898.915239
0.664959755	2918.208858	2898.208858
0.680448657	2917.498094	2897.498094
0.696298343	2916.782945	2896.782945
0.712517215	2916.063411	2896.063411
0.729113873	2915.339492	2895.339492
0.746097116	2914.611188	2894.611188
0.763475951	2913.878500	2893.878500
0.78125959	2913.141429	2893.141429
0.799457464	2912.399977	2892.399977
0.81807922	2911.654146	2891.654146
0.837134733	2910.903938	2890.903938
0.856634106	2910.149355	2890.149355
0.876587678	2909.390401	2889.390401
0.897006028	2908.627079	2888.627079
0.917899982	2907.859393	2887.859393
0.939280619	2907.087348	2887.087348
0.961159276	2906.310947	2886.310947
0.983547551	2905.530196	2885.530196
1.006457317	2904.745101	2884.745101
1.029900719	2903.955666	2883.955666
1.053890189	2903.161899	2883.161899
1.078438445	2902.363806	2882.363806
1.103558503	2901.561393	2881.561393
1.129263683	2900.754668	2880.754668
1.155567613	2899.943640	2879.943640
1.182484241	2899.128315	2879.128315
1.210027837	2898.308703	2878.308703
1.238213006	2897.484812	2877.484812
1.267054692	2896.656652	2876.656652
1.296568187	2895.824231	2875.824231
1.32676914	2894.987562	2874.987562
1.357673563	2894.146652	2874.146652
1.389297843	2893.301514	2873.301514
1.421658747	2892.452159	2872.452159
1.454773433	2891.598597	2871.598597
1.48865946	2890.740842	2870.740842
1.523334793	2889.878904	2869.878904
1.558817818	2889.012797	2869.012797
1.59512735	2888.142534	2868.142534
1.632282639	2887.268127	2867.268127
1.670303386	2886.389591	2866.389591
1.70920975	2885.506940	2865.506940
1.749022359	2884.620187	2864.620187
1.789762323	2883.729348	2863.729348
1.831451243	2882.834438	2862.834438
1.874111223	2881.935471	2861.935471
1.917764881	2881.032465	2861.032465
1.962435364	2880.125434	2860.125434
2.008146356	2879.214395	2859.214395
2.054922093	2878.299364	2858.299364
2.102787378	2877.380359	2857.380359
2.151767588	2876.457398	2856.457398
2.201888694	2875.530496	2855.530496
2.25317727	2874.599674	2854.599674
2.305660511	2873.664948	2853.664948
2.359366243	2872.726337	2852.726337
2.414322943	2871.783860	2851.783860
2.470559749	2870.837536	2850.837536
2.528106478	2869.887384	2849.887384
2.586993642	2868.933424	2848.933424
2.647252465	2867.975676	2847.975676
2.708914897	2867.014160	2847.014160
2.77201363	2866.048896	2846.048896
2.836582123	2865.079906	2845.079906
2.902654608	2864.107209	2844.107209
2.970266119	2863.130827	2843.130827
3.039452505	2862.150782	2842.150782
3.110250449	2861.167095	2841.167095
3.182697489	2860.179788	2840.179788
3.256832037	2859.188883	2839.188883
3.3326934	2858.194402	2838.194402
3.410321802	2857.196367	2837.196367
3.489758401	2856.194802	2836.194802
3.571045317	2855.189730	2835.189730
3.654225648	2854.181172	2834.181172
3.739343498	2853.169153	2833.169153
3.826443997	2852.153696	2832.153696
3.915573327	2851.134825	2831.134825
4.006778747	2850.112563	2830.112563
4.100108613	2849.086934	2829.086934
4.195612411	2848.057963	2828.057963
4.293340779	2847.025673	2827.025673
4.393345532	2845.990088	2825.990088
4.495679696	2844.951235	2824.951235
4.600397528	2843.909136	2823.909136
4.707554552	2842.863817	2822.863817
4.817207584	2841.815302	2821.815302
4.929414763	2840.763617	2820.763617
5.044235583	2839.708787	2819.708787
5.161730924	2838.650837	2818.650837
5.281963083	2837.589791	2817.589791
5.404995808	2836.525676	2816.525676
5.530894333	2835.458517	2815.458517
5.659725412	2834.388339	2814.388339
5.791557353	2833.315168	2813.315168
5.926460054	2832.239029	2812.239029
6.064505042	2831.159949	2811.159949
6.205765511	2830.077952	2810.077952
6.350316359	2828.993066	2808.993066
6.498234229	2827.905314	2807.905314
6.649597549	2826.814725	2806.814725
6.804486573	2825.721322	2805.721322
6.962983426	2824.625132	2804.625132
7.125172146	2823.526182	2803.526182
7.291138725	2822.424496	2802.424496
7.460971163	2821.320101	2801.320101
7.634759507	2820.213023	2800.213023
7.812595901	2819.103287	2799.103287
7.994574637	2817.990920	2797.990920
8.180792203	2816.875947	2796.875947
8.371347332	2815.758395	2795.758395
8.566341061	2814.638288	2794.638288
8.765876777	2813.515653	2793.515653
8.970060277	2812.390516	2792.390516
9.178999822	2811.262902	2791.262902
9.392806194	2810.132837	2790.132837
9.611592756	2809.000346	2789.000346
9.835475512	2807.865456	2787.865456
10.06457317	2806.728190	2786.728190
10.29900719	2805.588576	2785.588576
10.53890189	2804.446638	2784.446638
10.78438445	2803.302401	2783.302401
11.03558503	2802.155647	2782.155647
11.29263683	2801.007133	2781.007133
11.55567613	2799.856151	2779.856151
11.82484241	2798.702971	2778.702971
12.10027837	2797.547617	2777.547617
12.38213006	2796.390114	2776.390114
12.67054692	2795.230487	2775.230487
12.96568187	2794.068761	2774.068761
13.2676914	2792.904958	2772.904958
13.57673563	2791.739104	2771.739104
13.89297843	2790.571224	2770.571224
14.21658747	2789.401340	2769.401340
14.54773433	2788.229477	2768.229477
14.8865946	2787.055658	2767.055658
15.23334793	2785.879908	2765.879908
15.58817818	2784.702249	2764.702249
15.9512735	2783.522705	2763.522705
16.32282639	2782.341300	2762.341300
16.70303386	2781.158055	2761.158055
17.0920975	2779.972995	2759.972995
17.49022359	2778.786142	2758.786142
17.89762323	2777.597518	2757.597518
18.31451243	2776.407147	2756.407147
18.74111223	2775.215049	2755.215049
19.17764881	2774.021248	2754.021248
19.62435364	2772.825765	2752.825765
20.08146356	2771.628623	2751.628623
20.54922093	2770.429843	2750.429843
21.02787378	2769.229446	2749.229446
21.51767588	2768.027453	2748.027453
22.01888694	2766.823887	2746.823887
22.5317727	2765.618767	2745.618767
23.05660511	2764.412115	2744.412115
23.59366243	2763.203951	2743.203951
24.14322943	2761.994296	2741.994296
24.70559749	2760.783170	2740.783170
25.28106478	2759.570593	2739.570593
25.86993643	2758.356585	2738.356585
26.47252465	2757.141166	2737.141166
27.08914897	2755.924356	2735.924356
27.7201363	2754.706173	2734.706173
28.36582123	2753.486637	2733.486637
29.02654608	2752.265768	2732.265768
29.70266119	2751.043583	2731.043583
30.39452505	2749.820101	2729.820101
31.10250449	2748.595342	2728.595342
31.82697489	2747.369323	2727.369323
32.56832037	2746.142062	2726.142062
33.326934	2744.913578	2724.913578
34.10321802	2743.683888	2723.683888
34.89758401	2742.453010	2722.453010
35.71045317	2741.220960	2721.220960
36.54225648	2739.987757	2719.987757
37.39343498	2738.753417	2718.753417
38.26443997	2737.517957	2717.517957
39.15573327	2736.281394	2716.281394
40.06778747	2735.043743	2715.043743
41.00108613	2733.805023	2713.805023
41.95612411	2732.565027	2712.565027
42.93340779	2731.324161	2711.324161
43.93345532	2730.082267	2710.082267
44.95679696	2728.839360	2708.839360
46.00397528	2727.595457	2707.595457
47.07554552	2726.350574	2706.350574
48.17207584	2725.104724	2705.104724
49.29414763	2723.858607	2703.858607
50.44235583	2722.610953	2702.610953
51.61730924	2721.362381	2701.362381
52.81963083	2720.112905	2700.112905
54.04995808	2718.862540	2698.862540
55.30894333	2717.611299	2697.611299
56.59725412	2716.359197	2696.359197
57.91557353	2715.106246	2695.106246
59.26460054	2713.852460	2693.852460
60.64505042	2712.597853	2692.597853
62.05765511	2711.342437	2691.342437
63.50316359	2710.086226	2690.086226
64.98234229	2708.829232	2688.829232
66.49597549	2707.571468	2687.571468
