tD/rD2	pD	pD'	pD/2pD'
0.186208714	0.063425527	0.130585556	0.24285047
0.190546072	0.066478967	0.134637967	0.24688046
0.19498446	0.069626059	0.138719601	0.25095970
0.199526231	0.072867444	0.142827843	0.25508837
0.204173794	0.076203708	0.146960089	0.25926668
0.208929613	0.079635371	0.15111375	0.26349479
0.213796209	0.083162898	0.155286259	0.26777288
0.218776162	0.086786693	0.159475072	0.27210112
0.223872114	0.090507103	0.163677678	0.27647967
0.229086765	0.094324415	0.167891597	0.28090868
0.234422882	0.098238865	0.172114388	0.28538830
0.239883292	0.102250626	0.176343649	0.28991865
0.245470892	0.106359821	0.180577023	0.29449988
0.251188643	0.110566519	0.184812199	0.29913209
0.257039578	0.114870734	0.189046919	0.30381541
0.263026799	0.11927243	0.193278974	0.30854994
0.26915348	0.123771522	0.197506209	0.31333577
0.27542287	0.128367874	0.201726528	0.31817301
0.281838293	0.133061304	0.205937891	0.32306173
0.28840315	0.137851581	0.210138318	0.32800201
0.295120923	0.142738432	0.21432589	0.33299391
0.301995172	0.14772154	0.21849875	0.33803749
0.309029543	0.152800545	0.222655104	0.34313281
0.316227766	0.157975047	0.226793221	0.34827991
0.323593657	0.163244606	0.230911435	0.35347883
0.331131121	0.168608746	0.235008144	0.35872958
0.338844156	0.174066954	0.239081809	0.36403220
0.34673685	0.179618682	0.243130958	0.36938669
0.354813389	0.185263349	0.247154183	0.37479307
0.363078055	0.191000344	0.251150139	0.38025132
0.371535229	0.196829022	0.255117544	0.38576144
0.380189396	0.202748712	0.259055183	0.39132340
0.389045145	0.208758716	0.262961899	0.39693719
0.398107171	0.21485831	0.266836601	0.40260277
0.407380278	0.221046742	0.270678256	0.40832009
0.416869383	0.227323242	0.274485893	0.41408912
0.426579519	0.233687017	0.278258599	0.41990978
0.436515832	0.24013725	0.28199552	0.42578203
0.446683592	0.246673109	0.285695859	0.43170578
0.45708819	0.253293744	0.289358873	0.43768097
0.467735141	0.259998286	0.292983876	0.44370750
0.478630092	0.266785853	0.296570233	0.44978528
0.489778819	0.273655549	0.300117364	0.45591422
0.501187234	0.280606464	0.303624737	0.46209421
0.512861384	0.287637676	0.307091868	0.46832513
0.52480746	0.294748255	0.310518325	0.47460686
0.537031796	0.301937258	0.31390372	0.48093928
0.549540874	0.309203737	0.317247709	0.48732225
0.562341325	0.316546735	0.320549992	0.49375564
0.575439937	0.323965288	0.323810313	0.50023930
0.588843655	0.331458427	0.327028455	0.50677307
0.602559586	0.33902518	0.33020424	0.51335679
0.616595002	0.346664568	0.333337528	0.51999031
0.630957344	0.354375613	0.336428216	0.52667344
0.645654229	0.362157333	0.339476235	0.53340602
0.660693448	0.370008744	0.34248155	0.54018785
0.676082975	0.377928863	0.345444157	0.54701875
0.691830971	0.385916708	0.348364086	0.55389853
0.707945784	0.393971295	0.351241391	0.56082698
0.72443596	0.402091645	0.35407616	0.56780389
0.741310241	0.410276779	0.356868504	0.57482907
0.758577575	0.418525722	0.35961856	0.58190228
0.776247117	0.426837503	0.36232649	0.58902332
0.794328235	0.435211152	0.364992478	0.59619195
0.812830516	0.443645707	0.367616732	0.60340794
0.831763771	0.452140209	0.370199478	0.61067105
0.851138038	0.460693706	0.372740963	0.61798105
0.87096359	0.46930525	0.375241453	0.62533770
0.891250938	0.477973901	0.377701229	0.63274073
0.912010839	0.486698725	0.380120592	0.64018990
0.933254301	0.495478794	0.382499854	0.64768494
0.954992586	0.504313189	0.384839345	0.65522561
0.977237221	0.513200998	0.387139406	0.66281163
1	0.522141317	0.389400392	0.67044272
1.023292992	0.531133251	0.391622667	0.67811863
1.047128548	0.540175913	0.39380661	0.68583906
1.071519305	0.549268425	0.395952606	0.69360375
1.096478196	0.558409916	0.398061051	0.70141240
1.122018454	0.567599528	0.400132349	0.70926474
1.148153622	0.57683641	0.40216691	0.71716046
1.174897555	0.58611972	0.404165153	0.72509928
1.202264435	0.595448628	0.406127502	0.73308090
1.230268771	0.604822311	0.408054388	0.74110502
1.258925412	0.614239958	0.409946244	0.74917134
1.288249552	0.623700768	0.41180351	0.75727957
1.318256739	0.633203948	0.413626629	0.76542938
1.348962883	0.642748719	0.415416046	0.77362048
1.380384265	0.652334309	0.417172209	0.78185255
1.412537545	0.661959958	0.41889557	0.79012528
1.445439771	0.671624915	0.42058658	0.79843836
1.479108388	0.68132844	0.422245693	0.80679146
1.513561248	0.691069806	0.423873362	0.81518428
1.548816619	0.700848292	0.425470043	0.82361650
1.584893192	0.710663191	0.427036189	0.83208778
1.621810097	0.720513805	0.428572255	0.84059782
1.659586907	0.730399445	0.430078694	0.84914628
1.698243652	0.740319437	0.431555958	0.85773284
1.737800829	0.750273111	0.433004497	0.86635718
1.77827941	0.760259814	0.434424761	0.87501897
1.819700859	0.770278897	0.435817196	0.88371788
1.862087137	0.780329727	0.437182247	0.89245358
1.905460718	0.790411677	0.438520356	0.90122575
1.9498446	0.800524132	0.439831963	0.91003406
1.995262315	0.810666487	0.441117504	0.91887817
2.041737945	0.820838147	0.442377413	0.92775775
2.089296131	0.831038527	0.443612119	0.93667248
2.13796209	0.84126705	0.444822049	0.94562202
